Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/tasks/1086,1,0,14.848299993900582,14.848299993900582,14.848299993900582,14.848299993900582,97.0,0.004176017457586225,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,/tasks/1087,1,0,9.756999999808613,9.756999999808613,9.756999999808613,9.756999999808613,0.0,0.004176017457586225,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/1088,1,0,4.871699995419476,4.871699995419476,4.871699995419476,4.871699995419476,90.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/tasks/1090,1,0,41.15749999618856,41.15749999618856,41.15749999618856,41.15749999618856,90.0,0.004176017457586225,0.0,41,41,41,41,41,41,41,41,41,41,41
PATCH,/tasks/1090,1,0,8.675500001118053,8.675500001118053,8.675500001118053,8.675500001118053,90.0,0.004176017457586225,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/1091,1,0,11.57210000383202,11.57210000383202,11.57210000383202,11.57210000383202,0.0,0.004176017457586225,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/tasks/1092,1,0,11.067799998272676,11.067799998272676,11.067799998272676,11.067799998272676,0.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/1093,1,0,7.660399998712819,7.660399998712819,7.660399998712819,7.660399998712819,90.0,0.004176017457586225,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/1094,1,0,5.7014999983948655,5.7014999983948655,5.7014999983948655,5.7014999983948655,97.0,0.004176017457586225,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/1094,1,0,21.955200005322695,21.955200005322695,21.955200005322695,21.955200005322695,97.0,0.004176017457586225,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/tasks/1094,1,0,73.45940000232076,73.45940000232076,73.45940000232076,73.45940000232076,96.0,0.004176017457586225,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,/tasks/1095,1,0,281.2231000061729,281.2231000061729,281.2231000061729,281.2231000061729,0.0,0.004176017457586225,0.0,280,280,280,280,280,280,280,280,280,280,280
DELETE,/tasks/1096,1,0,26.50059999723453,26.50059999723453,26.50059999723453,26.50059999723453,0.0,0.004176017457586225,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/tasks/1099,1,0,5.991500001982786,5.991500001982786,5.991500001982786,5.991500001982786,90.0,0.004176017457586225,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/1100,1,0,12.823500001104549,12.823500001104549,12.823500001104549,12.823500001104549,97.0,0.004176017457586225,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/1101,1,0,41.26389999873936,41.26389999873936,41.26389999873936,41.26389999873936,90.0,0.004176017457586225,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/tasks/1104,1,0,73.40419999673031,73.40419999673031,73.40419999673031,73.40419999673031,89.0,0.004176017457586225,0.0,73,73,73,73,73,73,73,73,73,73,73
PATCH,/tasks/1104,1,0,36.39120000298135,36.39120000298135,36.39120000298135,36.39120000298135,89.0,0.004176017457586225,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/tasks/1105,1,0,11.820599997008685,11.820599997008685,11.820599997008685,11.820599997008685,90.0,0.004176017457586225,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/tasks/1105,1,0,46.397300000535324,46.397300000535324,46.397300000535324,46.397300000535324,97.0,0.004176017457586225,0.0,46,46,46,46,46,46,46,46,46,46,46
PATCH,/tasks/1106,1,0,18.846699997084215,18.846699997084215,18.846699997084215,18.846699997084215,97.0,0.004176017457586225,0.0,19,19,19,19,19,19,19,19,19,19,19
PUT,/tasks/1106,1,0,10.257599999022204,10.257599999022204,10.257599999022204,10.257599999022204,97.0,0.004176017457586225,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/1111,1,0,8.377199999813456,8.377199999813456,8.377199999813456,8.377199999813456,97.0,0.004176017457586225,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/tasks/1111,2,0,46,67.206100000476,45.673599997826386,88.73860000312561,97.0,0.00835203491517245,0.0,89,89,89,89,89,89,89,89,89,89,89
PATCH,/tasks/1112,1,0,1047.9416999951354,1047.9416999951354,1047.9416999951354,1047.9416999951354,89.0,0.004176017457586225,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tasks/1114,1,0,35.89149999606889,35.89149999606889,35.89149999606889,35.89149999606889,90.0,0.004176017457586225,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/tasks/1114,2,0,5,8.837450001010438,4.585900001984555,13.089000000036322,97.0,0.00835203491517245,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/tasks/1115,1,0,162.12230000382988,162.12230000382988,162.12230000382988,162.12230000382988,97.0,0.004176017457586225,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/tasks/1116,1,0,4.978699995263014,4.978699995263014,4.978699995263014,4.978699995263014,89.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/1116,1,0,22.634400003880728,22.634400003880728,22.634400003880728,22.634400003880728,89.0,0.004176017457586225,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/tasks/1117,1,0,5.71720000152709,5.71720000152709,5.71720000152709,5.71720000152709,90.0,0.004176017457586225,0.0,6,6,6,6,6,6,6,6,6,6,6
PATCH,/tasks/1117,2,0,12.42410000122618,126.84220000301138,12.42410000122618,241.2603000047966,89.5,0.00835203491517245,0.0,240,240,240,240,240,240,240,240,240,240,240
PUT,/tasks/1118,1,0,14.443699998082593,14.443699998082593,14.443699998082593,14.443699998082593,97.0,0.004176017457586225,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/tasks/1119,1,0,6.391399998392444,6.391399998392444,6.391399998392444,6.391399998392444,97.0,0.004176017457586225,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/tasks/1119,1,0,54.938100001891144,54.938100001891144,54.938100001891144,54.938100001891144,97.0,0.004176017457586225,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/tasks/1121,1,0,86.33700000063982,86.33700000063982,86.33700000063982,86.33700000063982,0.0,0.004176017457586225,0.0,86,86,86,86,86,86,86,86,86,86,86
PATCH,/tasks/1121,1,0,39.639100003114436,39.639100003114436,39.639100003114436,39.639100003114436,90.0,0.004176017457586225,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/tasks/1122,1,0,6.329099996946752,6.329099996946752,6.329099996946752,6.329099996946752,90.0,0.004176017457586225,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/tasks/1123,1,0,19.03650000167545,19.03650000167545,19.03650000167545,19.03650000167545,90.0,0.004176017457586225,0.0,19,19,19,19,19,19,19,19,19,19,19
PUT,/tasks/1126,1,0,11.993600004643667,11.993600004643667,11.993600004643667,11.993600004643667,96.0,0.004176017457586225,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/1128,1,0,74.90659999893978,74.90659999893978,74.90659999893978,74.90659999893978,97.0,0.004176017457586225,0.0,75,75,75,75,75,75,75,75,75,75,75
